"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 24 03:00:47 UTC 2024","Tue Dec 24 03:00:48 UTC 2024","376","WebTest","Command line test","WebTest","WebTest","testUpdateUserNotFound","Кейс с ошибкой изменения данных пользователя",""
"passed","Tue Dec 24 03:00:47 UTC 2024","Tue Dec 24 03:00:47 UTC 2024","313","WebTest","Command line test","WebTest","WebTest","testRegisterFailure","Кейс с ошибкой при регистрации",""
"passed","Tue Dec 24 03:00:46 UTC 2024","Tue Dec 24 03:00:47 UTC 2024","297","WebTest","Command line test","WebTest","WebTest","testDeleteUserSuccess","Кейс с успешным удалением пользователя",""
"passed","Tue Dec 24 03:00:48 UTC 2024","Tue Dec 24 03:00:48 UTC 2024","312","WebTest","Command line test","WebTest","WebTest","testUpdateUserSuccess","Кейс с успешным изменением данных пользователя",""
"passed","Tue Dec 24 03:00:44 UTC 2024","Tue Dec 24 03:00:46 UTC 2024","2616","WebTest","Command line test","WebTest","WebTest","testDeleteUserNotFound","Кейс с неудавшимся удалением пользователя",""
"passed","Tue Dec 24 03:00:47 UTC 2024","Tue Dec 24 03:00:47 UTC 2024","47","WebTest","Command line test","WebTest","WebTest","testGetUserNotFound","Кейс с неудавшимся получением информации о пользователе",""
"passed","Tue Dec 24 03:00:47 UTC 2024","Tue Dec 24 03:00:47 UTC 2024","313","WebTest","Command line test","WebTest","WebTest","testRegisterSuccess","Кейс с успешной регистрацией",""
"passed","Tue Dec 24 03:00:47 UTC 2024","Tue Dec 24 03:00:47 UTC 2024","78","WebTest","Command line test","WebTest","WebTest","testGetUserSuccess","Кейс с успешным получением информации о пользователе",""
